key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
jesus_service,ثلاث سنوات ونصف من خدمة يسوع، تم تنفيذها في ١٤ نيسان القمري سنة ٣٣ بم,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , ,ثلاث سنوات ونصف من خدمة يسوع، تم تنفيذها في ١٤ نيسان القمري سنة ٣٣ بم,٣٫٥ سنوات من خدمة يسوع، أُعدم في ١٤ نيسان، ٣٣ م.,3.5 سنوات من خدمة يسوع، أُعدم في 14 نيسان 33 ميلادية,٣٫٥ سنوات من خدمة يسوع، أُعدم في ١٤ نيسان سنة ٣٣ م,3.5 سنوات من خدمة يسوع، أُعدم في 14 نيسان من عام 33 بعد الميلاد.
jesus_life,ولد يسوع سنة ٢ ق‌م.,Jesus born 2 B.C.E., ,text,False, , , ,ولد يسوع سنة ٢ ق‌م.,وُلد يسوع ٢ ق.م.,ولادة يسوع سنة 2 قبل الميلاد,وُلد يسوع سنة ٢ ق.م,وُلد يسوع في عام 2 قبل الميلاد.
exile,من 607 إلى 537 ق.م. - 70 سنة (إرميا 25: 11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , ,من 607 إلى 537 ق.م. - 70 سنة (إرميا 25: 11),٦٠٧ إلى ٥٣٧ ق.م. – ٧٠ سنة (إرميا ٢٥:١١),607 إلى 537 قبل الميلاد – 70 سنة (إرميا 25: 11),٦٠٧ إلى ٥٣٧ ق.م – ٧٠ سنة (إرميا ٢٥:‏١١),607 إلى 537 قبل الميلاد – 70 عامًا (إرميا 25:11)
exile2,منفى,Exile, ,text,False, , , ,المنفى,السبي,السبْي,السبي,المنفى
7times2,٧ مرات — ٢٥٢٠ سنة حتى الملكوت المسيَّاني ١٩١٤ م (دانيال ٤: ٢٣),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , ,٧ مرات — ٢٥٢٠ سنة حتى الملكوت المسيَّاني ١٩١٤ م (دانيال ٤: ٢٣),٧ أزمنة – ٢٥٢٠ سنة إلى المملكة المسيحية ١٩١٤ م. (دانيال ٤:٢٣),7 أوقات – 2520 سنة حتى الملكوت المسياني 1914 ميلادية (دانيال 4: 23),٧ أزمنة – ٢٥٢٠ سنة حتى مملكة المسيا سنة ١٩١٤ م (دانيال ٤:‏٢٣),7 مرات – 2520 عامًا حتى قيام مملكة المسيح عام 1914 م (دانيال 4:23)
ww1,الحرب العالمية الأولى – 1914–1918م,World War I – 1914–1918, ,text,False, , , ,الحرب العالمية الأولى – 1914-1918,الحرب العالمية الأولى – ١٩١٤–١٩١٨,الحرب العالمية الأولى – 1914–1918,الحرب العالمية الأولى – ١٩١٤-١٩١٨,الحرب العالمية الأولى – 1914–1918
ww2,الحرب العالمية الثانية – 1939-1945م,World War II – 1939–1945, ,text,False, , , ,الحرب العالمية الثانية – 1939-1945,الحرب العالمية الثانية – ١٩٣٩–١٩٤٥,الحرب العالمية الثانية – 1939–1945,الحرب العالمية الثانية – ١٩٣٩-١٩٤٥,الحرب العالمية الثانية – 1939–1945
30_year_war,حرب الثلاثين عاما في أوروبا 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , ,حرب الثلاثين عاما في أوروبا 1618-1648,حرب الثلاثين عامًا في أوروبا ١٦١٨-١٦٤٨,حرب الثلاثين عاماً في أوروبا 1618-1648,حرب الثلاثين عاما في أوروبا ١٦١٨-١٦٤٨,حرب الثلاثين عامًا في أوروبا 1618-1648
joshua,110 سنة,110 years, ,text,False, , , ,110 سنة,١١٠ سنوات,110 سنوات,١١٠ سنوات,110 سنوات
caleb,أكثر من 85 سنة,more than 85 years, ,text,False, , , ,أكثر من 85 سنة,أكثر من ٨٥ سنة,أكثر من 85 سنة,أكثر من ٨٥ سنة,أكثر من 85 عامًا
missionary1,رحلة بولس التبشيرية الأولى، ج. ٤٧-٤٨ بم مع برنابا ويوحنا مرقس,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , ,رحلة بولس التبشيرية الأولى، ج. ٤٧-٤٨ بم مع برنابا ويوحنا مرقس,الرحلة التبشيرية الأولى لبولس، نحو ٤٧-٤٨ م. مع برنابا ويوحنا مرقس,الرحلة التبشيرية الأولى لبولس، حوالي 47-48 ميلادية مع برنابا ويوحنا مرقس,الرحلة التبشيرية الأولى لبولس، نحو ٤٧-٤٨ م مع برنابا ويوحنا مرقس,الرحلة التبشيرية الأولى لبولس، حوالي 47-48 م، برفقة برنابا ويوحنا مرقس
circumcision,قضية الختان في أنطاكية، مؤتمر في القدس ج. 49 م.,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , ,قضية الختان في أنطاكية، مؤتمر في القدس ج. 49 م.,مسألة الختان في إنطاكية، والمؤتمر في أورشليم نحو ٤٩ م.,قضية الختان في أنطاكية، مجمع أورشليم حوالي 49 ميلادية,مسألة الختان في أنطاكية، مؤتمر في أورشليم نحو ٤٩ م,قضية الختان في أنطاكية، والمؤتمر الذي عُقد في القدس حوالي عام 49 م.
missionary2,الرحلة التبشيرية الثانية ج. ٤٩-٥٢ بم في عهد سيلاس (سيلفانوس),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , ,الرحلة التبشيرية الثانية ج. ٤٩-٥٢ بم في عهد سيلاس (سيلفانوس),الرحلة التبشيرية الثانية نحو ٤٩-٥٢ م. مع سيلا (سلوانس),الرحلة التبشيرية الثانية حوالي 49-52 ميلادية مع سيلا (سيلوانس),الرحلة التبشيرية الثانية نحو ٤٩-٥٢ م مع سيلا (سلوانس),الرحلة التبشيرية الثانية، حوالي 49-52 م، برفقة سيلاس (سيلفانوس)
missionary3,الرحلة التبشيرية الثالثة ج. ٥٢-٥٦ م,Third Missionary Journey c. 52-56 C.E., ,text,False, , , ,Third Missionary Journey c. ٥٢-٥٦ م,الرحلة التبشيرية الثالثة نحو ٥٢-٥٦ م.,الرحلة التبشيرية الثالثة حوالي 52-56 ميلادية,الرحلة التبشيرية الثالثة نحو ٥٢-٥٦ م,الرحلة التبشيرية الثالثة، حوالي 52-56 م
caesarea,بولس في الحجز في قيصرية ج. ٥٦-٥٨ م,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , ,بولس في الحجز في قيصرية ج. ٥٦-٥٨ م,بولس في السجن في قيصرية نحو ٥٦-٥٨ م.,بولس قيد الاحتجاز في قيصرية حوالي 56-58 ميلادية,بولس معتقل في قيصرية نحو ٥٦-٥٨ م,بولس قيد الاحتجاز في قيصرية حوالي 56-58 م.
rome1,سجن بولس الأول في روما ج. 59-61 م.,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , ,سجن بولس الأول في روما ج. 59-61 م.,السجن الأول لبولس في روما نحو ٥٩-٦١ م.,سجن بولس الأول في روما حوالي 59-61 ميلادية,سجن بولس الأول في روما نحو ٥٩-٦١ م,السجن الأول لبولس في روما، حوالي 59-61 م.
rome2,سجن بولس الثاني في روما ج. 65 م، كتابة رسالة تيموثاوس الثانية، إعدام بولس,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False, , , ,سجن بولس الثاني في روما ج. سنة ٦٥ بم، كتابة تيموثاوس الثانية، إعدام بولس,السجن الثاني لبولس في روما نحو ٦٥ م.، وكُتبت الرسالة الثانية إلى تيموثاوس، وأُعدم بولس,سجن بولس الثاني في روما حوالي 65 ميلادية، كتابة رسالة تيموثاوس الثانية، إعدام بولس,سجن بولس الثاني في روما نحو ٦٥ م، كتابة الرسالة الثانية إلى تيموثاوس، إعدام بولس,السجن الثاني لبولس في روما حوالي عام 65 م، كتابة رسالة تيموثاوس الثانية، إعدام بولس
event_exodus,الخروج من مصر في ١٤ نيسان سنة ١٥١٣ ق‌م,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False, , , ,الخروج من مصر في ١٤ نيسان سنة ١٥١٣ ق‌م,الخروج من مصر في ١٤ نيسان، ١٥١٣ ق.م.,الخروج من مصر في 14 نيسان 1513 قبل الميلاد,الخروج من مصر في ١٤ نيسان سنة ١٥١٣ ق.م,الخروج من مصر في 14 نيسان، عام 1513 قبل الميلاد.
event_division_kingdom,تقسيم إسرائيل 997 قبل الميلاد,Division of Israel 997 BCE, ,text,False, , , ,تقسيم إسرائيل 997 قبل الميلاد,انقسام إسرائيل ٩٩٧ ق.م.,انقسام إسرائيل 997 قبل الميلاد,انقسام إسرائيل سنة ٩٩٧ ق.م,تقسيم إسرائيل عام 997 قبل الميلاد
event_destruction_samaria,تدمير السامرة سنة ٧٤٠ ق‌م بواسطة آشور,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False, , , ,تدمير السامرة 740 ق.م. بواسطة آشور,سقوط السامرة ٧٤٠ ق.م. على يد آشور,دمار السامرة 740 قبل الميلاد على يد آشور,تدمير السامرة سنة ٧٤٠ ق.م على يد أشور,تدمير السامرة عام 740 قبل الميلاد على يد الآشوريين
event_destruction_jerusalem1,خراب اورشليم سنة ٦٠٧ ق‌م على يد بابل، بعد 390 سنة من تقسيم المملكة (حزقيال 4: 5),"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False, , , ,خراب اورشليم سنة ٦٠٧ ق‌م على يد بابل، بعد 390 سنة من تقسيم المملكة (حزقيال 4: 5),سقوط أورشليم ٦٠٧ ق.م. على يد بابل، بعد ٣٩٠ سنة من انقسام المملكة (حزقيال ٤:٥),دمار أورشليم 607 قبل الميلاد على يد بابل، 390 سنة بعد انقسام المملكة (حزقيال 4: 5),تدمير أورشليم سنة ٦٠٧ ق.م على يد بابل، بعد ٣٩٠ سنة من انقسام المملكة (حزقيال ٤:‏٥),تدمير القدس عام 607 قبل الميلاد على يد بابل، بعد 390 عامًا من انقسام المملكة (حزقيال 4:5)
event_temple_rebuilt,أعيد بناء معبد في القدس عام 515 ق.م.,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False, , , ,أعيد بناء معبد في القدس عام 515 ق.م.,إعادة بناء الهيكل في أورشليم ٥١٥ ق.م.,إعادة بناء الهيكل في أورشليم 515 قبل الميلاد,إعادة بناء الهيكل في أورشليم سنة ٥١٥ ق.م,أُعيد بناء المعبد في القدس عام 515 قبل الميلاد.
event_jerusalem_rebuilt,أعيد بناء سور القدس عام 455 ق.م.,Jerusalem wall rebuilt 455 B.C.E., ,text,False, , , ,أعيد بناء سور القدس عام 455 ق.م.,إعادة بناء سور أورشليم ٤٥٥ ق.م.,إعادة بناء سور أورشليم 455 قبل الميلاد,إعادة بناء سور أورشليم سنة ٤٥٥ ق.م,أعيد بناء سور القدس في عام 455 قبل الميلاد.
event_destruction_jerusalem2,تدمير اورشليم سنة ٧٠ بم على يد روما في عهد تيطس,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False, , , ,تدمير اورشليم سنة ٧٠ بم على يد روما في عهد تيطس,سقوط أورشليم ٧٠ م. على يد روما تحت قيادة تيطس,دمار أورشليم 70 ميلادية على يد روما بقيادة تيطس,تدمير أورشليم سنة ٧٠ م على يد روما بقيادة تيتوس,تدمير القدس عام 70 م على يد روما بقيادة تيتوس
event_1914,نهاية زمن الأمم (لوقا 21: 24)، يبدأ ملكوت الله بالحكم في السماء سنة 1914م.,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,False, , , ,نهاية زمن الأمم (لوقا ٢١:٢٤)، يبدأ ملكوت الله بالحكم في السماء سنة ١٩١٤ بم.,نهاية زمن الأمم (لوقا ٢١:٢٤)، تبدأ ملكوت الله في الحكم في السماء ١٩١٤ م.,نهاية أوقات الأمم (لوقا 21: 24)، بداية حكم ملكوت الله في السماء 1914 ميلادية,نهاية أزمنة الأمم (لوقا ٢١:‏٢٤)، بدء حكم ملكوت الله في السماء سنة ١٩١٤ م,نهاية زمن الأمم (لوقا 21:24)، وبدء حكم ملكوت الله في السماء عام 1914 م.
became_king,أصبح ملكا في سن,becomes king at age,2025-04-14,text,False, , , ,يصبح ملكا في سن,يصبح ملكًا في سن,أصبح ملكاً في سن,يصبح ملكا في سن,يصبح ملكًا في سن
vulgate,النسخه اللاتينية للانجيل أكملها جيروم (الترجمة اللاتينية للكتاب المقدس) ج. 405 م.,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False, , , ,النسخه اللاتينية للانجيل أكملها جيروم (الترجمة اللاتينية للكتاب المقدس) ج. 405 م.,اكتمال الترجمة اللاتينية (الفلجاتا) على يد جيروم نحو ٤٠٥ م.,إكمال الفولغاتا بواسطة جيروم (الترجمة اللاتينية للكتاب المقدس) حوالي 405 ميلادية,إتمام الفولغاتا على يد جيروم (ترجمة الكتاب المقدس إلى اللاتينية) نحو ٤٠٥ م,أكمل جيروم ترجمة «الفولغاتا» (الترجمة اللاتينية للكتاب المقدس) حوالي عام 405 م.
gutenberg,الكتاب المقدس لجوتنبرج طبع عام 1455,Gutenberg Bible printed 1455, ,text,False, , , ,الكتاب المقدس لجوتنبرج طبع عام 1455,طباعة كتاب غوتنبرغ ١٤٥٥,طباعة كتاب غوتنبرغ المقدس 1455,طباعة كتاب مقدس غوتنبرغ سنة ١٤٥٥,الإنجيل الغوتنبرغي، طُبع عام 1455
erasmus,النص اليوناني للاسفار اليونانية المسيحية التي نشرها ديزيديريوس ايراسموس من روتردام عام ١٥١٦,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False, , , ,النص اليوناني للاسفار اليونانية المسيحية التي نشرها ديزيديريوس ايراسموس من روتردام عام ١٥١٦,نشر النص اليوناني للأسفار اليونانية المسيحية على يد ديزيديريوس إراسموس من روتردام ١٥١٦,نشر النص اليوناني للأسفار اليونانية المسيحية بواسطة ديسيديريوس إراسموس من روتردام 1516,نشر النص اليوناني للأسفار اليونانية المسيحية على يد ديزيديريوس إراسموس روتردام سنة ١٥١٦,النص اليوناني للكتاب المقدس المسيحي الذي نشره ديزيديريوس إيراسموس من روتردام عام 1516
luther,ترجمة لوثر للكتاب المقدس في سبتمبر 1522,Luther Bible translation in September 1522, ,text,False, , , ,ترجمة لوثر للكتاب المقدس في سبتمبر 1522,ترجمة لوثر للكتاب المقدس في سبتمبر ١٥٢٢,ترجمة لوثر للكتاب المقدس في سبتمبر 1522,ترجمة لوثر للكتاب المقدس في أيلول (سبتمبر) ١٥٢٢,ترجمة لوثر للكتاب المقدس في سبتمبر 1522
tyndale,ترجمة الكتاب المقدس الإنجليزية بواسطة تيندال 1536,English Bible translation by Tyndale 1536, ,text,False, , , ,ترجمة الكتاب المقدس الإنجليزية بواسطة تيندال 1536,ترجمة تيندال الإنجليزية للكتاب المقدس ١٥٣٦,ترجمة تاينديل الإنجليزية للكتاب المقدس 1536,ترجمة تندل للكتاب المقدس إلى الإنجليزية سنة ١٥٣٦,ترجمة الكتاب المقدس إلى اللغة الإنجليزية التي قام بها تيندال عام 1536
king_james,الملك جيمس الكتاب المقدس 1611,King James Bible 1611, ,text,False, , , ,الملك جيمس الكتاب المقدس 1611,كتاب الملك جيمس المقدس 1611,ترجمة الملك جيمس للكتاب المقدس 1611,كتاب الملك جيمس المقدس سنة ١٦١١,الكتاب المقدس (ترجمة الملك جيمس) عام 1611
69weeks3,يبدأ يسوع خدمته عام 29 م (لوقا 3: 1، 21),"Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False, , , ,يبدأ يسوع خدمته عام 29م (لوقا 3: 1، 21),يسوع يبدأ خدمته 29 م (لوقا 3:1، 21),يسوع يبدأ خدمته سنة 29 ميلادية (لوقا 3: 1، 21),يبدأ يسوع خدمته سنة ٢٩ م (لوقا ٣:‏١، ٢١),بدأ يسوع خدمته في عام 29 م (لوقا 3:1، 21)
ransom,"منتصف الأسبوع ""ذبيحة التوقف"" دانيال 9: 27",Middle of week “sacrifice to cease” Daniel 9:27, ,text,False, , , ,"منتصف الأسبوع ""ذبيحة التوقف"" دانيال 9: 27",منتصف الأسبوع «توقف الذبيحة» دانيال 9:27,"في وسط الأسبوع ""إبطال الذبيحة"" دانيال 9: 27",منتصف الأسبوع «يبطل الذبيحة» دانيال ٩:‏٢٧,"""توقف الذبيحة"" في منتصف الأسبوع — دانيال 9:27"
cornelius,عمد كرنيليوس في نهاية ٧٠ اسبوعا (دانيال ٩:٢٤) سنة ٣٦ بم.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False, , , ,عمد كرنيليوس في نهاية ٧٠ اسبوعا (دانيال ٩:٢٤) سنة ٣٦ بم.,كرنيليوس يعتمد في نهاية 70 أسبوعًا (دانيال 9:24) في 36 م,معمودية كرنيليوس في نهاية الـ 70 أسبوعاً (دانيال 9: 24) سنة 36 ميلادية,اعتماد كرنيليوس في نهاية الأسابيع السبعين (دانيال ٩:‏٢٤) سنة ٣٦ م,تعمّد كورنيليوس في نهاية السبعين أسبوعًا (دانيال 9:24) في عام 36 م.
columbus,نهاية فترة ما قبل كولومبوس في الأمريكتين 1492,End of the pre-columbian period in the Americas 1492, ,text,False, , , ,نهاية فترة ما قبل كولومبوس في الأمريكتين 1492,نهاية الفترة ما قبل الكولومبية في الأمريكتين 1492,نهاية الحقبة قبل الكولومبية في الأمريكتين 1492,نهاية الحقبة السابقة لكولومبوس في الأمريكتين سنة ١٤٩٢,نهاية الفترة ما قبل كولومبوس في الأمريكتين عام 1492
declaration_independence,إعلان استقلال 13 مستعمرة في أمريكا 1776,Declaration of independence of 13 colonies in America 1776, ,text,False, , , ,إعلان استقلال 13 مستعمرة في أمريكا 1776,إعلان استقلال المستعمرات الثلاث عشرة في أمريكا 1776,إعلان استقلال المستعمرات الـ 13 في أمريكا 1776,إعلان استقلال المستعمرات الثلاث عشرة في أمريكا سنة ١٧٧٦,إعلان استقلال المستعمرات الثلاثة عشر في أمريكا عام 1776
tischendorf,اكتشف تيشندورف المخطوطة السينائية من القرن الرابع في عام 1844,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False, , , ,اكتشف تيشندورف المخطوطة السينائية من القرن الرابع في عام 1844,تيشندورف يكتشف مخطوطة سيناء من القرن الرابع عام 1844,تيشندورف يكتشف المخطوطة السينائية من القرن الرابع في عام 1844,اكتشاف تيشندورف لمخطوطة سيناء من القرن الرابع سنة ١٨٤٤,اكتشف تيشندورف في عام 1844 «مخطوطة سيناء» التي تعود إلى القرن الرابع
dead_sea_scrolls,مخطوطات البحر الميت مكتوبة,Dead Sea Scrolls written, ,text,False, , , ,مخطوطات البحر الميت مكتوبة,كتابات البحر الميت,كتابة مخطوطات البحر الميت,كتابة مخطوطات البحر الميت,مخطوطات البحر الميت المكتوبة
septuagint,الترجمة السبعينية السبعينية مترجمة,Septuagint LXX translated, ,text,False, , , ,الترجمة السبعينية السبعينية مترجمة,ترجمة السبعين (LXX),ترجمة السبعينية (LXX),ترجمة السبعينية,ترجمة السبعينية (LXX)
watchtower,صدر العدد الاول من «برج مراقبة صهيون ومبشر بحضور المسيح» سنة ١٨٧٩,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False, , , ,صدر العدد الاول من «برج مراقبة صهيون ومبشر بحضور المسيح» سنة ١٨٧٩,يُنشر العدد الأول من «برج المراقبة الصهيوني ونادي حضور المسيح» عام 1879,"صدور العدد الأول من ""برج مراقبة صهيون وبشير حضور المسيح"" عام 1879",صدور العدد الأول من مجلة «برج مراقبة صهيون ومبشر حضور المسيح» سنة ١٨٧٩,صدر العدد الأول من مجلة «برج مراقبة صهيون ورسول حضور المسيح» في عام 1879
jehovahs_witnesses,اعتمد تلاميذ الكتاب المقدس اسما جديدا — شهود يهوه (اشعياء ٤٣: ١٠، ١٢) في كولومبوس، أوهايو، ١٩٣١,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,text,False, , , ,تلاميذ الكتاب المقدس يتبنون اسما جديدا — شهود يهوه (اشعياء ٤٣: ١٠، ١٢) في كولومبوس، أوهايو، ١٩٣١,يتبنى طلبة الكتاب المقدس اسمًا جديدًا – شهود يهوه (إشعياء 43:10، 12) في كولومبوس، أوهايو، 1931,تلامذة الكتاب المقدس يعتمدون اسماً جديداً – شهود يهوه (إشعيا 43: 10، 12) في كولومبوس، أوهايو، 1931,تبني تلاميذ الكتاب المقدس اسما جديدا – شهود يهوه (إشعيا ٤٣:‏١٠، ١٢) في كولومبوس، أوهايو، سنة ١٩٣١,اتخذ «طلاب الكتاب المقدس» اسمًا جديدًا – «شهود يهوه» (إشعياء 43:10، 12) في كولومبوس، أوهايو، عام 1931
gilead_school,بدأت مدرسة جلعاد برج المراقبة للكتاب المقدس يوم الاثنين الموافق ١ فبراير ١٩٤٣,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False, , , ,تبدأ مدرسة جلعاد برج المراقبة للكتاب المقدس يوم الاثنين الموافق ١ فبراير ١٩٤٣,تبدأ مدرسة جلعاد اللاهوتية لبرج المراقبة يوم الاثنين، 1 فبراير 1943,بدء مدرسة جلعاد للكتاب المقدس (برج المراقبة) يوم الاثنين، 1 فبراير 1943,بدء مدرسة برج المراقبة للكتاب المقدس، جلعاد، يوم الاثنين ١ شباط (فبراير) ١٩٤٣,تبدأ مدرسة «برج المراقبة» للكتاب المقدس في جيلعاد يوم الاثنين، 1 فبراير 1943
