key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
ww2,第二次世界大战 – 公元 1939 年至 1945 年,World War II – 1939–1945, ,text,False, , , ,World War II – 1939–1945,第二次世界大战——1939–1945, , ,第二次世界大战——1939–1945
30_year_war,欧洲三十年战争 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , ,Thirty Years' War in Europe 1618-1648,欧洲三十年战争 1618–1648, , ,1618-1648年欧洲三十年战争
joshua,110年,110 years, ,text,False, , , ,110 years,110年, , ,110年
caleb,超过85岁,more than 85 years, ,text,False, , , ,more than 85 years,超过85年, , ,超过85年
missionary1,保罗的第一次传教之旅，c。公元 47-48 年与巴拿巴和约翰马可,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , ,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark",保罗的第一次传道旅程，约公元47–48年，与巴拿巴和约翰·马可同行, , ,保罗的第一次传教之旅，公元47-48年左右，与巴拿巴和约翰·马可同行
circumcision,安提阿的割礼问题，耶路撒冷会议公元 49 年,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , ,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.",约公元49年安提阿的割礼问题，耶路撒冷会议, , ,安提阿的割礼问题，约公元49年在耶路撒冷举行的会议。
missionary2,第二次传教之旅 c．公元 49-52 年与塞拉斯 (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , ,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus),保罗的第二次传道旅程，约公元49–52年，与西拉（西尔瓦努斯）同行, , ,第二次传教之旅，约公元49-52年，与西拉（西尔瓦努斯）同行
missionary3,第三次传教之旅 c．公元 52-56 年,Third Missionary Journey c. 52-56 C.E., ,text,False, , , ,Third Missionary Journey c. 52-56 C.E.,保罗的第三次传道旅程，约公元52–56年, , ,第三次传教之旅，约公元52-56年
caesarea,保罗在该撒利亚被监禁 c.公元 56-58 年,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , ,Paul in custody in Caesarea c. 56-58 C.E.,约公元56–58年保罗被拘留在凯撒利亚, , ,公元56至58年左右，保罗在凯撒利亚被羁押。
rome1,保罗在罗马第一次被监禁 c.公元 59-61 年,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , ,Paul’s first imprisonment in Rome c. 59-61 C.E.,约公元59–61年保罗在罗马第一次被监禁, , ,保罗在罗马的第一次被囚，约公元59-61年。
rome2,保罗在罗马第二次被监禁 c.公元 65 年，《提摩太后书》写成，保罗被处决,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False, , , ,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed",约公元65年保罗在罗马第二次被监禁，写下《提摩太后书》，保罗被处死, , ,公元65年左右，保罗第二次在罗马被囚，《提摩太后书》写成，保罗被处决
event_exodus,公元前 1513 年尼散月 14 日，人们离开埃及,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False, , , ,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.",公元前1513年尼散月14日出埃及, , ,公元前1513年尼桑月14日，以色列人出埃及。
event_division_kingdom,公元前 997 年以色列分裂,Division of Israel 997 BCE, ,text,False, , , ,Division of Israel 997 BCE,公元前997年 以色列分裂, , ,公元前997年以色列分裂
event_destruction_samaria,公元前 740 年撒玛利亚被毁亚述,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria,text,False, , , ,Destruction of Samaria 740 B.C.E. by Assyria,公元前740年 亚述毁灭撒马利亚, , ,公元前740年，亚述摧毁撒玛利亚
event_destruction_jerusalem1,公元前 607 年耶路撒冷被毁巴比伦王国分裂后 390 年（以西结书 4:5）,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", ,text,False, , , ,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)",公元前607年 巴比伦毁灭耶路撒冷，距王国分裂390年（《以西结书》4:5）, , ,公元前607年，巴比伦摧毁耶路撒冷，此时距王国分裂已过去390年（《以西结书》4:5）
event_temple_rebuilt,耶路撒冷圣殿于公元前 515 年重建。,Temple in Jerusalem rebuilt 515 B.C.E., ,text,False, , , ,Temple in Jerusalem rebuilt 515 B.C.E.,公元前515年 耶路撒冷圣殿重建, , ,耶路撒冷圣殿于公元前515年重建。
event_jerusalem_rebuilt,耶路撒冷城墙于公元前 455 年重建,Jerusalem wall rebuilt 455 B.C.E., ,text,False, , , ,Jerusalem wall rebuilt 455 B.C.E.,公元前455年 耶路撒冷城墙重建, , ,公元前455年，耶路撒冷城墙得以重建。
event_destruction_jerusalem2,公元 70 年，提图斯领导下的罗马摧毁了耶路撒冷,Destruction of Jerusalem 70 C.E. by Rome under Titus, ,text,False, , , ,Destruction of Jerusalem 70 C.E. by Rome under Titus,公元70年 罗马提多将军毁灭耶路撒冷, , ,公元70年，提图斯率领的罗马军队摧毁了耶路撒冷
event_1914,列国时代结束时（路加福音 21:24），公元 1914 年，神的国度开始在天上统治。,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24,text,False, , , ,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",外邦人的日期结束（《路加福音》21:24），1914年上帝的王国开始在天上掌权, , ,列国时代结束（路加福音 21:24），公元 1914 年，上帝的王国开始在天上掌权。
became_king,年长成为国王,becomes king at age,2025-04-14,text,False, , , ,becomes king at age,在……岁时成为王, , ,在……岁时登基
vulgate,杰罗姆完成的武加大译本（圣经的拉丁文译本） c．公元 405 年,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., ,text,False, , , ,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,约公元405年 哲罗姆完成《武加大译本》（圣经拉丁文译本）, , ,约尔根于公元405年左右完成了《武加大译本》（《圣经》的拉丁文译本）。
gutenberg,古腾堡圣经印刷于 1455 年,Gutenberg Bible printed 1455, ,text,False, , , ,Gutenberg Bible printed 1455,1455年 谷登堡圣经印刷出版, , ,1455年印制的《古腾堡圣经》
erasmus,鹿特丹的德西德里乌斯·伊拉斯谟于 1516 年出版的《希腊语经卷》希腊语文本,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, ,text,False, , , ,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,1516年 鹿特丹的德西德里乌斯·伊拉斯谟出版《基督教希腊语经卷》希腊文文本, , ,1516年由鹿特丹的德西德里乌斯·伊拉斯谟出版的《基督教希腊文圣经》的希腊文文本
luther,1522 年 9 月路德圣经翻译,Luther Bible translation in September 1522, ,text,False, , , ,Luther Bible translation in September 1522,1522年9月 路德圣经译本, , ,1522年9月的路德版《圣经》译本
tyndale,廷代尔 (Tyndale) 1536 年英文圣经翻译,English Bible translation by Tyndale 1536, ,text,False, , , ,English Bible translation by Tyndale 1536,1536年 丁道尔英文圣经译本, , ,廷代尔于1536年完成的英文圣经译本
king_james,英皇钦定版圣经 1611,King James Bible 1611, ,text,False, , , ,King James Bible 1611,钦定本圣经 1611, , ,1611年版《詹姆士王版圣经》
69weeks3,"耶稣于公元 29 年开始侍奉（路加福音 3:1, 21）","Jesus starts his service 29 CE (Luke 3:1, 21)", ,text,False, , , ,"Jesus starts his service 29 CE (Luke 3:1, 21)","耶稣于公元29年开始传道（路加福音 3:1, 21）", , ,公元29年，耶稣开始传道（路加福音3：1、21）
ransom,周中“牺牲以停止”但以理书 9:27,Middle of week “sacrifice to cease” Daniel 9:27, ,text,False, , , ,Middle of week “sacrifice to cease” Daniel 9:27,"""献祭止息""于半周（但以理书 9:27）", , ,“停祭”发生在周中 《但以理书》9:27
cornelius,公元 36 年，哥尼流在 70 周结束时施洗（但以理书 9:24）。,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., ,text,False, , , ,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,哥尼流在七十周末受洗（但以理书 9:24），公元36年, , ,科尼利厄斯在“七十个七”期满时（但以理书 9:24）——即公元36年——受了洗。
columbus,1492 年美洲前哥伦布时期结束,End of the pre-columbian period in the Americas 1492, ,text,False, , , ,End of the pre-columbian period in the Americas 1492,美洲前哥伦布时期结束 1492, , ,美洲前哥伦布时期的结束 1492年
declaration_independence,1776年美洲13个殖民地宣布独立,Declaration of independence of 13 colonies in America 1776, ,text,False, , , ,Declaration of independence of 13 colonies in America 1776,北美13个殖民地宣布独立 1776, , ,1776年美洲13个殖民地的《独立宣言》
tischendorf,蒂申多夫 (Tischendorf) 于 1844 年发现了 4 世纪的西奈抄本,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, ,text,False, , , ,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,蒂申多夫于1844年发现公元4世纪的西奈山抄本, , ,1844年，蒂申多夫发现了这部可追溯至4世纪的《西奈抄本》
dead_sea_scrolls,死海古卷书写,Dead Sea Scrolls written, ,text,False, , , ,Dead Sea Scrolls written,死海古卷写成, , ,《死海古卷》的书写
septuagint,七十士译本七十士译本,Septuagint LXX translated, ,text,False, , , ,Septuagint LXX translated,七十士译本翻译, , ,《七十士译本》（LXX）译为
watchtower,第一期《锡安守望台和基督临在的先驱》于 1879 年出版,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, ,text,False, , , ,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,《锡安守望台与基督临在先锋》于1879年首次发行, , ,1879年，《锡安的望塔与基督临在的先驱》第一期出版
jehovahs_witnesses,"圣经研究者于 1931 年在俄亥俄州哥伦布市采用了一个新名称——耶和华见证人（以赛亚书 43:10, 12）","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture,text,False, , , ,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931","圣经研究者于1931年在俄亥俄州哥伦布市采用新名——耶和华见证人（以赛亚书 43:10, 12）", , ,1931年，俄亥俄州哥伦布市的“圣经研究者”改名为“耶和华见证人”（以赛亚书43:10、12）
gilead_school,守望台基列圣经学校于 1943 年 2 月 1 日星期一开始,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943", ,text,False, , , ,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943",守望台基列圣经学校于1943年2月1日星期一开学, , ,基列守望台圣经学校将于1943年2月1日星期一开学
new_world_translation1,1960年6月18日在英国曼彻斯特出版的《圣经新世界译本》在圣经的许多地方重新引入了耶和华这个名字,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name,text,False, , , ,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible","《新世界译本圣经》于1960年6月18日在英国曼彻斯特发布，在圣经多处重新引入""耶和华""之名", , ,1960年6月18日在英国曼彻斯特出版的《新世界译本圣经》，在《圣经》的许多部分重新引入了“耶和华”这一名称
new_world_translation2,2013年年会发布修订版《圣经新世界译本》，优化数字化和在线使用,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind,text,False, , , ,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",修订版《新世界译本圣经》于2013年年会上发布，优化以适应数字和在线使用, , ,修订版《新世界译本圣经》于2013年年会发布，经过优化，更适合数字化和在线使用
cold_war,1945-1991年被贴上“冷战”标签的地缘政治局势,Geopolitical situation labeled “Cold War” 1945-1991, ,text,False, , , ,Geopolitical situation labeled “Cold War” 1945-1991,"地缘政治局势称为""冷战"" 1945-1991", , ,1945年至1991年被称为“冷战”的地缘政治局势
codex_sinaiticus,西奈抄本成文,Codex Sinaiticus written, ,text,False, , , ,Codex Sinaiticus written,西奈山抄本写成, , ,《西奈抄本》的撰写
codex_vaticanus,梵蒂冈法典成文,Codex Vaticanus written, ,text,False, , , ,Codex Vaticanus written,梵蒂冈抄本写成, , ,《梵蒂冈抄本》的成书
leningrad_codex,列宁格勒抄本于公元 1008 年开罗编写,Leningrad Codex written in Cairo AD 1008, ,text,False, , , ,Leningrad Codex written in Cairo AD 1008,列宁格勒抄本于公元1008年在开罗写成, , ,公元1008年于开罗撰写的《列宁格勒抄本》
john,公元 96-98 年，约翰在被放逐到拔摩岛时写下了《启示录》。,John writes “revelation” while exiled on Patmos 96-98 C.E., ,text,False, , , ,John writes “revelation” while exiled on Patmos 96-98 C.E.,约翰在96-98年间被流放帕特莫斯岛时写下《启示录》, , ,约翰于公元96至98年流放帕特莫斯岛期间写下了《启示录》。
buddha,佛陀 – 悉达多·乔达摩 c.563-c.483 B.C.E,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, ,text,False, , , ,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,佛陀——乔达摩·悉达多 约公元前563-前483, , ,佛陀——悉达多·乔达摩，约公元前563年至约公元前483年
buddha2,佛陀或者c.公元前 480-400 年,Buddha alternatively c. 480-400 B.C.E., ,text,False, , , ,Buddha alternatively c. 480-400 B.C.E.,佛陀另一说法 约公元前480-前400, , ,佛陀，又作约公元前480—400年。
mohammed,穆罕默德 C.公元 570-632 年,Mohammed c. 570-632, ,text,False, , , ,Mohammed c. 570-632,穆罕默德 约570-632, , ,穆罕默德，约公元570—632年
confucius,孔子（公元前 551 年至公元前 479 年）,Confucius c.551-c.479 B.C.E., ,text,False, , , ,Confucius c.551-c.479 B.C.E.,孔子 约公元前551-前479, , ,孔子（约公元前551年—约公元前479年）
hijrah,迁徙 - 麦加到麦地那之旅 622 年 7 月 16 日,Hijrah - Journey Mecca to Medina 16 July 622, ,text,False, , , ,Hijrah - Journey Mecca to Medina 16 July 622,希吉拉——从麦加迁徙至麦地那 622年7月16日, , ,希吉拉——从麦加迁徙至麦地那，公元622年7月16日
moses_escape,公元前 1553 年摩西必须逃离埃及 – 出埃及记 2:15，使徒行传 7:23,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23", ,text,False, , , ,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23","公元前1553年 摩西逃出埃及——出埃及记 2:15, 使徒行传 7:23", , ,公元前1553年，摩西不得不逃离埃及——《出埃及记》2:15，《使徒行传》7:23
10plagues,公元前 1513 年，埃及遭遇 10 场瘟疫,1513 B.C.E Egypt receives 10 plagues, ,text,False, , , ,1513 B.C.E Egypt receives 10 plagues,公元前1513年 埃及遭受十大灾殃, , ,公元前1513年，埃及遭遇了十灾
joseph_sold,约瑟 17 岁时被卖为奴隶 – 创 37:2,Joseph sold as slave at the age of 17 – Gen 37:2, ,text,False, , , ,Joseph sold as slave at the age of 17 – Gen 37:2,约瑟17岁被卖为奴——创世记 37:2, , ,约瑟17岁时被卖为奴——《创世记》37:2
infliction,400 年的折磨（使徒行传 7:6）——以实玛利 1913 B.C.E,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E, ,text,False, , , ,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,400年苦待（使徒行传 7:6）——以实玛利 公元前1913年, , ,400年的苦难（《使徒行传》7:6）——以实玛利，公元前1913年
Alexander,亚历山大大帝（但以理书 11:3）,Alexander the Great (Daniel 11:3), ,text,False, , , ,Alexander the Great (Daniel 11:3),亚历山大大帝（但以理书 11:3）, , ,亚历山大大帝（但以理书 11:3）
persia,居鲁士大帝、冈比西斯二世、大流士一世（公元前 490 年）、薛西斯一世（公元前 480 年）（以斯帖的丈夫，但以理书 11:2）,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)", ,text,False, , , ,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)",居鲁士大帝、冈比西斯二世、大流士一世 公元前490年、薛西斯一世 公元前480年（以斯帖的丈夫，但以理书 11:2）, , ,居鲁士大帝、坎比塞斯二世、大流士一世（公元前490年）、薛西斯一世（公元前480年）（以斯帖的丈夫，《但以理书》11:2）
king_north,"塞琉古一世尼卡托 (v5) 叙利亚到安条克三世 (v10) 和塞琉古四世 (v18, 19) 到屋大维 (v20) 和提比略 (v21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)", ,text,False, , , ,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)","塞琉古一世尼卡托（5节）叙利亚至安条克三世（10节）和塞琉古四世（18, 19节）直至屋大维（20节）和提比略（21-24节）", , ,塞琉古一世·尼卡托尔（第5节）的叙利亚，到安条克三世（第10节）和塞琉古四世（第18、19节），再到屋大维（第20节）和提比略（第21-24节）
king_north1,北方之王,King of the North, ,text,False, , , ,King of the North,北方之王, , ,北境之王
king_south,"托勒密一世、二世、三世、四世 (v11, 12)、五世 (v15, 16) 至公元前 31 年亚克兴战役","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.", ,text,False, , , ,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.","托勒密一世、二世、三世、四世（11, 12节）、五世（15, 16节）至公元前31年阿克提乌姆海战", , ,托勒密一世、二世、三世、四世（第11、12卷）、五世（第15、16卷）至公元前31年的阿克提乌姆海战。
king_south1,南方之王,King of the South, ,text,False, , , ,King of the South,南方之王, , ,南方之王
king_south2,1870 年大英帝国，1914 年以来英美世界强国,"British Empire 1870, Anglo-American World Power since 1914", ,text,False, , , ,"British Empire 1870, Anglo-American World Power since 1914","大英帝国 1870, 1914年起为英美世界霸权", , ,1870年的大英帝国，1914年以来英美世界霸权
king_south3,南方之王,King of the South, ,text,False, , , ,King of the South,南方之王, , ,南方之王
king_north2,德国威廉一世皇帝 1871 年 (v28)、1914 年 (v29)、1935 年 (v30b)、1939 年 (v31a),"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)", ,text,False, , , ,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",德国，威廉一世皇帝 1871（28节）、1914（29节）、1935（30下节）、1939（31上节）, , ,德意志帝国：威廉一世皇帝时期 1871年（v28）、1914年（v29）、1935年（v30b）、1939年（v31a）
king_north3,北,North, ,text,False, , , ,North,北方, , ,北
king_north4,"苏联 1945-1991（但以理书 11:32-39, 40b, 41）","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)", ,text,False, , , ,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)","苏联 1945-1991（但以理书 11:32-39, 40下节, 41节）", , ,苏联 1945-1991（但以理书 11:32-39、40b、41）
king_north5,2017 年起俄罗斯（5 月 20 日）,Russia since 2017 (w20 May), ,text,False, , , ,Russia since 2017 (w20 May),俄罗斯自2017年起（《守望台》2020年5月刊）, , ,俄罗斯自2017年以来（截至5月20日）
time_of_end,基督的临在、事物制度的终结（马太福音 24:3）、末后的日子（提摩太后书 3:1）,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out,text,False, , , ,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",基督临在，世代的终结（马太福音 24:3），末世（提摩太后书 3:1）, , ,基督的临在、现今时代的终结（马太福音 24:3）、末世（提摩太后书 3:1）
time_of_end2,最后一天,Last days, ,text,False, , , ,Last days,末世, , ,最后几天
suryavaman2,国王苏利耶跋摩二世 (Suryavarman II) 建造吴哥窟 1113-1150 年,King Suryavarman II builds Angkor Wat 1113-1150, ,text,False, , , ,King Suryavarman II builds Angkor Wat 1113-1150,苏利耶跋摩二世国王建造吴哥窟 1113-1150, , ,苏利耶跋摩二世于1113年至1150年间建造了吴哥窟
notre-dame,巴黎圣母院建于 1163-1260 年,Notre-Dame de Paris built 1163-1260, ,text,False, , , ,Notre-Dame de Paris built 1163-1260,巴黎圣母院建造 1163-1260, , ,巴黎圣母院建于1163年至1260年
babel,巴别塔建成,Tower of Babel built, ,text,False, , , ,Tower of Babel built,巴别塔建造, , ,巴别塔建成
infliction1,400年的折磨,400 year infliction,Acts 7:6,text,False, , , ,400 year infliction,400年苦待, , ,400年的苦难
Lots_wife,罗得的妻子,Lot’s wife, ,text,False, , , ,Lot’s wife,罗得的妻子, , ,罗得的妻子
Lots_daughters,罗得的女儿们,Daughters of Lot, ,text,False, , , ,Daughters of Lot,罗得的女儿, , ,罗得的女儿们
Moab,摩押（大女儿）,Moab (older daughter),Genesis 19:37,text,False, , , ,Moab (older daughter),摩押（长女）, , ,摩押（大女儿）
rosetta,罗塞塔石碑 公元前 196 年,Rosetta stone 196 B.C.E., ,text,False, , , ,Rosetta stone 196 B.C.E.,罗塞塔石碑 公元前196年, , ,罗塞塔石碑，公元前196年。
Herodotus,希罗多德 C. 484 – c。 《历史》写道，公元前 425 年,"Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History,text,False, , , ,"Herodotus c. 484 – c. 425 BC, writes The Histories",希罗多德 约公元前484年 – 约公元前425年，著有《历史》, , ,希罗多德（约公元前484年—约公元前425年），著有《历史》
Aristotle,亚里士多德 384 – 322 公元前,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher",text,False, , , ,Aristotle 384 – 322 BC,亚里士多德 公元前384年 – 公元前322年, , ,亚里士多德 公元前384年 – 公元前322年
Ptolemy,托勒密 c 100 – c。公元 170 年,Ptolemy c 100 – c. 170 C.E., ,text,False, , , ,Ptolemy c 100 – c. 170 C.E.,托勒密 约公元100年 – 约公元170年, , ,托勒密 约公元100年 – 约公元170年
Pythagoras,毕达哥拉斯 C. 570 – c。公元前495年,Pythagoras c. 570 – c. 495 BC, ,text,False, , , ,Pythagoras c. 570 – c. 495 BC,毕达哥拉斯 约公元前570年 – 约公元前495年, , ,毕达哥拉斯 约公元前570年 – 约公元前495年
Plato,柏拉图 C. 427 – c。公元前348年,Plato c. 427 – c. 348 BC, ,text,False, , , ,Plato c. 427 – c. 348 BC,柏拉图 约公元前427年 – 约公元前348年, , ,柏拉图 约公元前427年 – 约公元前348年
Socrates,苏格拉底 C． 470 – c。公元前399年,Socrates c. 470 – c. 399 BC, ,text,False, , , ,Socrates c. 470 – c. 399 BC,苏格拉底 约公元前470年 – 约公元前399年, , ,苏格拉底 约公元前470年 – 约公元前399年
