key,english,translation
rome2,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed","Lần bị tù thứ hai của Phao-lô tại La Mã k. 65 CN, viết 2 Ti-mô-thê, Phao-lô bị xử tử"
event_exodus,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.","Xuất hành khỏi Ai Cập vào ngày 14 Nisan, 1513 TCN"
event_division_kingdom,Division of Israel 997 BCE,Vương quốc Y-sơ-ra-ên bị chia cắt năm 997 TCN
event_destruction_samaria,Destruction of Samaria 740 B.C.E. by Assyria,Sa-ma-ri bị A-si-ri tàn phá năm 740 TCN
event_destruction_jerusalem1,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)","Giê-ru-sa-lem bị Ba-by-lôn tàn phá năm 607 TCN, 390 năm sau khi vương quốc bị chia cắt (Ê-xê-chi-ên 4:5)"
event_temple_rebuilt,Temple in Jerusalem rebuilt 515 B.C.E.,Đền thờ tại Giê-ru-sa-lem được xây dựng lại năm 515 TCN
event_jerusalem_rebuilt,Jerusalem wall rebuilt 455 B.C.E.,Tường thành Giê-ru-sa-lem được xây dựng lại năm 455 TCN
event_destruction_jerusalem2,Destruction of Jerusalem 70 C.E. by Rome under Titus,Giê-ru-sa-lem bị La Mã dưới thời Titus tàn phá năm 70 CN
event_1914,"End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.","Kết thúc thời kỳ dân ngoại (Lu-ca 21:24), Nước Đức Chúa Trời bắt đầu cai trị trên trời năm 1914 CN"
became_king,becomes king at age,lên ngôi vua năm... tuổi
vulgate,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.,Bản dịch Vulgate hoàn thành bởi Jerome (bản dịch Kinh Thánh tiếng Latinh) k. 405 CN
gutenberg,Gutenberg Bible printed 1455,Kinh Thánh Gutenberg được in năm 1455
erasmus,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516,Văn bản tiếng Hy Lạp của Kinh Thánh phần tiếng Hy Lạp do Desiderius Erasmus thành Rotterdam xuất bản năm 1516
luther,Luther Bible translation in September 1522,Bản dịch Kinh Thánh của Luther vào tháng 9 năm 1522
tyndale,English Bible translation by Tyndale 1536,Bản dịch Kinh Thánh tiếng Anh của Tyndale năm 1536
king_james,King James Bible 1611,Kinh Thánh King James 1611
69weeks3,"Jesus starts his service 29 CE (Luke 3:1, 21)","Chúa Giê-su bắt đầu chức vụ năm 29 CN (Lu-ca 3:1, 21)"
ransom,Middle of week “sacrifice to cease” Daniel 9:27,Giữa tuần lễ “chấm dứt của lễ dâng” Đa-ni-ên 9:27
cornelius,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.,Cọt-nây chịu phép báp-têm vào cuối 70 tuần lễ (Đa-ni-ên 9:24) vào năm 36 CN
columbus,End of the pre-columbian period in the Americas 1492,Kết thúc thời kỳ tiền Colombo ở châu Mỹ năm 1492
declaration_independence,Declaration of independence of 13 colonies in America 1776,Tuyên ngôn độc lập của 13 thuộc địa tại Mỹ năm 1776
tischendorf,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844,Tischendorf phát hiện Bản thảo Sinaiticus từ thế kỷ thứ 4 vào năm 1844
dead_sea_scrolls,Dead Sea Scrolls written,Các cuộn sách Biển Chết được viết
septuagint,Septuagint LXX translated,Bản dịch Bảy Mươi (Septuagint LXX) được dịch
watchtower,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879,Số đầu tiên của “Tháp Canh Si-ôn và Sứ giả về sự hiện diện của Đấng Christ” được xuất bản năm 1879
jehovahs_witnesses,"The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931","Các Học viên Kinh Thánh nhận tên mới – Nhân Chứng Giê-hô-va (Ê-sai 43:10, 12) tại Columbus, Ohio, 1931"
gilead_school,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943","Trường Kinh Thánh Ga-la-át của Tháp Canh khai giảng vào thứ Hai, ngày 1 tháng 2 năm 1943"
new_world_translation1,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible","“Kinh Thánh — Bản dịch Thế Giới Mới” phát hành tại Manchester, Anh vào ngày 18 tháng 6 năm 1960, khôi phục danh Giê-hô-va ở nhiều phần trong Kinh Thánh"
new_world_translation2,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online","Bản tu đính “Kinh Thánh — Bản dịch Thế Giới Mới” phát hành tại cuộc họp thường niên 2013, được tối ưu hóa để sử dụng kỹ thuật số và trực tuyến"
cold_war,Geopolitical situation labeled “Cold War” 1945-1991,Tình hình địa chính trị mang tên “Chiến tranh Lạnh” 1945-1991
codex_sinaiticus,Codex Sinaiticus written,Bản thảo Sinaiticus được viết
codex_vaticanus,Codex Vaticanus written,Bản thảo Vaticanus được viết
leningrad_codex,Leningrad Codex written in Cairo AD 1008,Bản thảo Leningrad được viết tại Cairo năm 1008 CN
john,John writes “revelation” while exiled on Patmos 96-98 C.E.,Giăng viết sách “Khải huyền” khi bị lưu đày trên đảo Bát-mô 96-98 CN
buddha,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E,Đức Phật – Tất-đạt-đa Cồ-đàm k. 563 - k. 483 TCN
buddha2,Buddha alternatively c. 480-400 B.C.E.,Đức Phật (thuyết khác) k. 480-400 TCN
mohammed,Mohammed c. 570-632,Mohammed k. 570-632
confucius,Confucius c.551-c.479 B.C.E.,Khổng Tử k. 551 - k. 479 TCN
hijrah,Hijrah - Journey Mecca to Medina 16 July 622,Hijrah - Cuộc di cư từ Mecca đến Medina ngày 16 tháng 7 năm 622
moses_escape,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23","1553 TCN Môi-se phải trốn khỏi Ai Cập – Xuất Ai Cập 2:15, Công vụ 7:23"
10plagues,1513 B.C.E Egypt receives 10 plagues,Năm 1513 TCN Ai Cập chịu 10 đòn phạt
joseph_sold,Joseph sold as slave at the age of 17 – Gen 37:2,Giô-sép bị bán làm nô lệ ở tuổi 17 – Sáng thế 37:2
infliction,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E,400 năm bị áp bức (Công vụ 7:6) – Ích-ma-ên 1913 TCN
Alexander,Alexander the Great (Daniel 11:3),A-léc-xăng Đại đế (Đa-ni-ên 11:3)
persia,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)","Cyrus Đại đế, Cambyses II, Darius I 490 TCN, Xerxes I 480 TCN (chồng của Ê-xơ-tê, Đa-ni-ên 11:2)"
king_north,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)","Seleucus I Nicator (c.5) Syria đến Antiochus III (c.10) và Seleucus IV (c.18, 19) cho đến Octavian (c.20) và Tiberius (c.21-24)"
king_north1,King of the North,Vua phương Bắc
king_south,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.","Ptolemy I, II, III, IV (c.11, 12), V (c.15, 16) đến trận chiến Actium 31 TCN"
king_south1,King of the South,Vua phương Nam
king_south2,"British Empire 1870, Anglo-American World Power since 1914","Đế quốc Anh 1870, Cường quốc thế giới Anh-Mỹ từ năm 1914"
king_south3,King of the South,Vua phương Nam
king_north2,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)","Đức dưới thời Hoàng đế William I 1871 (c.28), 1914 (c.29), 1935 (c.30b), 1939 (c.31a)"
king_north3,North,Phương Bắc
king_north4,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)","Liên Xô 1945-1991 (Đa-ni-ên 11:32-39, 40b, 41)"
king_north5,Russia since 2017 (w20 May),Nga từ năm 2017 (w20 Tháng 5)
time_of_end,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)","Sự hiện diện của Đấng Christ, Sự kết liễu của thời đại này (Ma-thi-ơ 24:3), những ngày sau cùng (2 Ti-mô-thê 3:1)"
time_of_end2,Last days,Những ngày sau cùng
suryavaman2,King Suryavarman II builds Angkor Wat 1113-1150,Vua Suryavarman II xây dựng Angkor Wat 1113-1150
notre-dame,Notre-Dame de Paris built 1163-1260,Nhà thờ Đức Bà Paris được xây dựng 1163-1260
babel,Tower of Babel built,Tháp Ba-bên được xây dựng
infliction1,400 year infliction,400 năm bị áp bức
Lots_wife,Lot’s wife,Vợ của Lót
Lots_daughters,Daughters of Lot,Các con gái của Lót
Moab,Moab (older daughter),Mô-áp (con gái lớn)
rosetta,Rosetta stone 196 B.C.E.,Phiến đá Rosetta năm 196 TCN
Herodotus,"Herodotus c. 484 – c. 425 BC, writes The Histories","Herodotus k. 484 – k. 425 TCN, viết tác phẩm Lịch sử (The Histories)"
Aristotle,Aristotle 384 – 322 BC,Aristotle 384 – 322 TCN
Ptolemy,Ptolemy c 100 – c. 170 C.E.,Ptolemy k. 100 – k. 170 CN
Pythagoras,Pythagoras c. 570 – c. 495 BC,Pythagoras k. 570 – k. 495 TCN
Plato,Plato c. 427 – c. 348 BC,Plato k. 427 – k. 348 TCN
Socrates,Socrates c. 470 – c. 399 BC,Socrates k. 470 – k. 399 TCN
Josephus,Josephus c. 37 – c. 100 C.E.,Josephus k. 37 – k. 100 CN
Cicero,Cicero 106–43 BC,Cicero 106–43 TCN
lachish_letters,Lachish letters c. 590 B.C.E.,Các bức thư La-ki k. 590 TCN
lachish_reliefs,Lachish reliefs c. 681 B.C.E.,Các phù điêu La-ki k. 681 TCN
mesha_stele,Mesha Stele (Moabite stone) c. 840 B.C.E.,Bia đá Mê-sa (Đá Mô-áp) k. 840 TCN
gilgamesh,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵,Gilgamesh và Aga 𒇽𒆥𒄄𒀀𒀝𒂵
epic_gilgamesh,Epic of Gilgamesh (Sîn-lēqi-unninni),Sử thi Gilgamesh (Sîn-lēqi-unninni)
gregorian,Gregorian calendar 1582,Lịch Gregory 1582
shang-dynasty,c. 1600-1046 BC,k. 1600-1046 TCN
western-zhou,c. 1046-771 BC,k. 1046-771 TCN
qin-dynasty,Qin 221-207 BC,Nhà Tần 221-207 TCN
western-han,207 BC – 9 CE,207 TCN – 9 CN
three-kingdoms,Three kingdoms 220-280 CE,Thời Tam Quốc 220-280 CN
sixteen-kingdoms,Sixteen kingdoms 304-439 CE,Thời Thập Lục Quốc 304-439 CN
tang-dynasty2,"618-690, 705-907","618-690, 705-907"
wu-zhou,690-705 Wu Zhou,690-705 Võ Chu
tang-dynasty1_c,Tang,Nhà Đường
gonghe,Gonghe Regency 841-828 BC,Thời kỳ Chu Triệu Cộng hòa 841-828 TCN
Ashoka,Ashoka (c. 304-232 BC) promotes Buddhism,A-dục vương (Ashoka k. 304-232 TCN) truyền bá Phật giáo
siloam-tunnel,Hezekiah extends Siloam tunnel,Ê-xê-chia mở rộng đường hầm Si-lô-ê
Angloamerica2,"Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43","Cường quốc Anh-Mỹ được tượng trưng bằng bàn chân bằng sắt pha đất sét trong lời tiên tri tại Đa-ni-ên 2:33, 41-43"
Manetho,Manetho writes Aegyptiaca,Manetho viết tác phẩm Aegyptiaca
destruction_babylon,"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)","Sự hủy diệt Ba-by-lôn Lớn (Khải huyền 17:3, 15-18; 18:9, 10)"
peace_security,"“Peace and security!” (1 Thessalonians 5:3, this is one possibility, QfR 26/2, 25/11)","“Hòa bình và an toàn!” (1 Tê-sa-lô-ni-ca 5:3, đây là một khả năng, QfR 26/2, 25/11)"
gog_of_magog,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)","Cuộc tấn công của Gót ở đất Ma-gót (Ê-xê-chi-ên 38:1, 2, 9-12, 18-23)"
sheep_goat,"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)","Cư dân trên đất chịu phán xét, phân chia chiên và dê (Ma-thi-ơ 25:31-33)"
annointed,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),Sự quy tụ các đấng cai trị Nước Trời (Ma-thi-ơ 24:31; 1 Cô-rinh-tô 15:50-53; 1 Tê-sa-lô-ni-ca 4:15-17)
armageddon,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)","Trận chiến A-ma-ghê-đôn (Khải huyền 16:14, 16; Ê-sai 13:9; 2 Phi-e-rơ 3:12)"
millenium,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)","Nước Đức Chúa Trời bắt đầu sự cai trị 1000 năm (Khải huyền 5:9, 10; 20:4, 6)"
great_crowd,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)","Một đám đông lớn sống sót qua A-ma-ghê-đôn (Khải huyền 7:9, 14; Thi thiên 37:9-11)"
world_population,World population in billions in the last 2000 years,Dân số thế giới tính theo tỷ người trong 2000 năm qua
khmer_empire_c,Khmer Empire - Angkor period,Đế quốc Khmer - Thời kỳ Angkor
holy_roman_empire_c,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512,Đế chế La Mã Thần thánh – được gọi là Đế chế La Mã Thần thánh của Dân tộc Đức sau năm 1512
mongol_empire,Mongol Empire 1206 – 1294,Đế quốc Mông Cổ 1206 – 1294
maya_classic_c,Maya civilization – Classic period,Văn minh Maya – Thời kỳ Cổ điển
maya_postclassic_c,Maya civilization – Postclassic period,Văn minh Maya – Thời kỳ Hậu Cổ điển
Teotihuacan,"Largest city in the Americas, pyramids build c. 200 C.E.","Thành phố lớn nhất châu Mỹ, các kim tự tháp được xây dựng k. 200 CN"
Dionysius_Exiguus,"Dionysius Exiguus, inventor of Anno Domini","Dionysius Exiguus, người phát minh ra cách tính Công Nguyên (Anno Domini)"
Umayyad_c,Umayyad,Nhà Umayyad
ur3,Ur III Dynasty 𒋀𒀕𒆠,Triều đại Ur III 𒋀𒀕𒆠
hammurabi,Hammurabi 𒄩𒄠𒈬𒊏𒁉,Hammurabi 𒄩𒄠𒈬𒊏𒁉
Al-Khwarizmi,al-Khwarizmi writes Al-Jabr (Algebra),al-Khwarizmi viết cuốn Al-Jabr (Đại số)
al-azhar,Al-Azhar University is established in Cairo,Đại học Al-Azhar được thành lập tại Cairo
Ibn-Sina,Ibn Sina or Avicenna,Ibn Sina hoặc Avicenna
life-expectancy,Life expectancy 75 years,Tuổi thọ trung bình 75 năm
430years_c,"430 years: Exodus 12:41, Galatians 3:17","430 năm: Xuất Ai Cập 12:41, Ga-la-ti 3:17"
maya_calendar,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",Khởi điểm được tính toán của lịch Maya ngày 11 tháng 8 năm 3114 TCN
xia-dynasty2,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,k. 2070 – k. 1600 TCN; Thời kỳ lần đầu được nhắc đến trong thời Tây Chu
xia-dynasty2_c,Xia dynasty in China,Nhà Hạ ở Trung Quốc
tres_zapotes,"September 3rd, 32 B.C.E.",Ngày 3 tháng 9 năm 32 TCN
joseph_jacob_reunited,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),Giô-sép và Gia-cốp đoàn tụ tại Ai Cập – 1728 TCN (Sáng thế 45:11; 47:9)
king_south_light_c,King of the South from Daniel 11,Vua phương Nam trong Đa-ni-ên 11
king_north_light_c,King of the North from Daniel 11,Vua phương Bắc trong Đa-ni-ên 11
daniel2_iron_c,Iron legs from Daniel 2,Đôi chân bằng sắt trong Đa-ni-ên 2
argenteus,Codex Argenteus c. 505,Bản thảo Argenteus k. 505
nguyen_dynasty_c,Nguyễn,Nhà Nguyễn
edo_c,Edo period in Japan,Thời kỳ Edo ở Nhật Bản
meiji_c,Meiji,Thời kỳ Minh Trị
american_civil_war,American Civil War 1861-1865,Nội chiến Hoa Kỳ 1861-1865
aleppo_codex,Aleppo Codex c. 920,Bản thảo Aleppo k. 920
vandals,Kingdom of the Vandals and Alans 435 – 534,Vương quốc Vandal và Alan 435 – 534
francia,"c. 481/509 – 843, Merovingian till 751, then Carolingian","k. 481/509 – 843, triều Merovingian đến năm 751, sau đó là Carolingian"
francia_c,Kingdom of the Franks,Vương quốc Frank
100_years_war,Hundred Years’ War 1337 – 1453,Chiến tranh Trăm Năm 1337 – 1453
black_death,Black death 1346-1353,Cái Chết Đen 1346-1353
sui_dynasty,581-618 Sui dynasty,581-618 Nhà Tùy
sui_dynasty_c,Sui,Nhà Tùy
tribulation,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)","Hoạn nạn lớn (Mác 13:19; Đa-ni-ên 12:1; Ma-thi-ơ 24:21, 22)"
timeline_created,"This timeline is created in 2023, the hottest year in human history and the last 125,000 years","Dòng thời gian này được tạo ra vào năm 2023, năm nóng nhất trong lịch sử nhân loại và trong 125.000 năm qua"
