key,english,translation
gregorian,Gregorian calendar 1582,
shang-dynasty,c. 1600-1046 BC,
western-zhou,c. 1046-771 BC,
qin-dynasty,Qin 221-207 BC,
western-han,207 BC – 9 CE,
three-kingdoms,Three kingdoms 220-280 CE,
sixteen-kingdoms,Sixteen kingdoms 304-439 CE,
tang-dynasty2,"618-690, 705-907",
wu-zhou,690-705 Wu Zhou,
tang-dynasty1_c,Tang,
gonghe,Gonghe Regency 841-828 BC,
Ashoka,Ashoka (c. 304-232 BC) promotes Buddhism,
siloam-tunnel,Hezekiah extends Siloam tunnel,
Angloamerica2,"Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43",
Manetho,Manetho writes Aegyptiaca,
destruction_babylon,"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)",
peace_security,"“Peace and security!” (1 Thessalonians 5:3, this is one possibility, QfR 26/2, 25/11)",
gog_of_magog,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)",
sheep_goat,"Earth’s inhabitants are judged, separating sheep and goats (Matthew 25:31-33)",
annointed,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17),
armageddon,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)",
millenium,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)",
great_crowd,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)",
world_population,World population in billions in the last 2000 years,
khmer_empire_c,Khmer Empire - Angkor period,
holy_roman_empire_c,Holy Roman Empire – known as Holy Roman Empire of the German Nation after 1512,
mongol_empire,Mongol Empire 1206 – 1294,
maya_classic_c,Maya civilization – Classic period,
maya_postclassic_c,Maya civilization – Postclassic period,
Teotihuacan,"Largest city in the Americas, pyramids build c. 200 C.E.",
Dionysius_Exiguus,"Dionysius Exiguus, inventor of Anno Domini",
Umayyad_c,Umayyad,
ur3,Ur III Dynasty 𒋀𒀕𒆠,
hammurabi,Hammurabi 𒄩𒄠𒈬𒊏𒁉,
Al-Khwarizmi,al-Khwarizmi writes Al-Jabr (Algebra),
al-azhar,Al-Azhar University is established in Cairo,
Ibn-Sina,Ibn Sina or Avicenna,
life-expectancy,Life expectancy 75 years,
430years_c,"430 years: Exodus 12:41, Galatians 3:17",
maya_calendar,"Calculated beginning of Maya calendar August 11, 3114 B.C.E.",
xia-dynasty2,c. 2070 – c. 1600 BC; Era first alluded during the Western Zhou period,
xia-dynasty2_c,Xia dynasty in China,
tres_zapotes,"September 3rd, 32 B.C.E.",
joseph_jacob_reunited,Joseph and Jacob reunited in Egypt – 1728 B.C.E. (Gen 45:11; 47:9),
king_south_light_c,King of the South from Daniel 11,
king_north_light_c,King of the North from Daniel 11,
daniel2_iron_c,Iron legs from Daniel 2,
argenteus,Codex Argenteus c. 505,
nguyen_dynasty_c,Nguyễn,
edo_c,Edo period in Japan,
meiji_c,Meiji,
american_civil_war,American Civil War 1861-1865,
aleppo_codex,Aleppo Codex c. 920,
vandals,Kingdom of the Vandals and Alans 435 – 534,
francia,"c. 481/509 – 843, Merovingian till 751, then Carolingian",
francia_c,Kingdom of the Franks,
100_years_war,Hundred Years’ War 1337 – 1453,
black_death,Black death 1346-1353,
sui_dynasty,581-618 Sui dynasty,
sui_dynasty_c,Sui,
tribulation,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)",
timeline_created,"This timeline is created in 2023, the hottest year in human history and the last 125,000 years",
